Date,Hour,Minute,Volume
20190205,22,0,13408.20
20190205,23,0,12386.90
20190205,24,0,11599.30
20190206,1,0,11132.10
20190206,2,0,11066.10
20190206,3,0,11016.80
20190206,4,0,11034.30
20190206,5,0,11089.80
20190206,6,0,12111.60
20190206,7,0,14391.00
20190206,8,0,15196.40
20190206,9,0,14995.00
20190206,10,0,14584.50
20190206,11,0,14425.30
20190206,12,0,14172.60
20190206,13,0,14074.40
20190206,14,0,14105.50
20190206,15,0,14269.30
20190206,16,0,14550.10
20190206,17,0,15328.30
20190206,18,0,16553.90
20190206,19,0,16257.80
20190206,20,0,15936.00
20190206,21,0,15429.20
20190206,22,0,14228.40
20190206,23,0,12965.70
20190206,24,0,11831.30
20190207,1,0,11205.70
20190207,2,0,11135.90
20190207,3,0,10930.50
20190207,4,0,10885.20
20190207,5,0,10939.60
20190207,6,0,11910.40
20190207,7,0,13978.50
20190207,8,0,15153.20
20190207,9,0,15114.40
20190207,10,0,15009.10
20190207,11,0,15038.40
20190207,12,0,14979.10
20190207,13,0,14954.10
20190207,14,0,14893.80
20190207,15,0,14876.70
20190207,16,0,14966.10
20190207,17,0,15670.70
20190207,18,0,16610.90
20190207,19,0,16165.90
20190207,20,0,15389.60
20190207,21,0,14630.00
20190207,22,0,13515.30
20190207,23,0,12154.50
20190207,24,0,11235.70
20190208,1,0,11005.60
20190208,2,0,10922.20
20190208,3,0,10958.00
20190208,4,0,10941.40
20190208,5,0,11083.00
20190208,6,0,11496.90
20190208,7,0,13357.10
20190208,8,0,14204.40
20190208,9,0,14070.50
20190208,10,0,13954.20
20190208,11,0,13899.70
20190208,12,0,13574.90
20190208,13,0,13281.30
20190208,14,0,13176.80
20190208,15,0,13109.20
20190208,16,0,13167.60
20190208,17,0,13766.60
20190208,18,0,15023.60
20190208,19,0,14823.30
20190208,20,0,14458.00
20190208,21,0,13999.90
20190208,22,0,13222.00
20190208,23,0,12388.40
20190208,24,0,11468.40
20190209,1,0,11821.00
20190209,2,0,11792.60
20190209,3,0,12065.50
20190209,4,0,11925.00
20190209,5,0,12062.60
20190209,6,0,12361.40
20190209,7,0,12832.70
20190209,8,0,13578.80
20190209,9,0,13887.30
20190209,10,0,13680.30
20190209,11,0,13490.60
20190209,12,0,13151.30
20190209,13,0,12918.40
20190209,14,0,12775.00
20190209,15,0,12817.60
20190209,16,0,13266.10
20190209,17,0,14101.40
20190209,18,0,15650.50
20190209,19,0,15692.80
20190209,20,0,15199.10
20190209,21,0,14669.50
